Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
scene1_0ff4e931	a	So, since I can't send you back yet anyways...\nAnd I still need adult supervision...	game/scene1.rpy	226	a "[what]"
scene1_0af40b92	n	You swallow hard and sigh. Her big eyes look up at you full of hope.\nWhen was the last time you looked at anything like that?	game/scene1.rpy	228	n "[what]"
scene1_facf73c5	s	Well, I've never been on any quests before. Certainly haven't encountered any bog beasts, so I don't know how much help I'll be.	game/scene1.rpy	230	s "[what]"
scene1_834a428c	n	Even as you're speaking, you recognize that there isn't really a choice here.	game/scene1.rpy	231	n "[what]"
scene1_b17171a3	n	You can whine and drag your feet, but the little girl in front of you is powerful enough to summon you from another world, apparently.	game/scene1.rpy	232	n "[what]"
scene1_38249b5f	n	If she wants to go on a quest, you're going on a quest. You can't even get her to call you by your actual name.	game/scene1.rpy	233	n "[what]"
scene1_b4769c52	s	But first, before any questing, my name-	game/scene1.rpy	234	s "[what]"
scene1_6666b945	a	Jophiel.	game/scene1.rpy	236	a "[what]"
scene1_fa509e2a	s	Serena.	game/scene1.rpy	238	s "[what]"
scene1_6666b945_1	a	Jophiel.	game/scene1.rpy	240	a "[what]"
scene1_e1554201_2	s	...	game/scene1.rpy	242	s "[what]"
scene1_a6ca6685	s	Jo.	game/scene1.rpy	243	s "[what]"
scene1_bb8e4b4e_3	a	...	game/scene1.rpy	245	a "[what]"
scene1_cd3f74fa	j	So, where is this bog beast anyhow?	game/scene1.rpy	247	j "[what]"
scene1_79f55194	a	The bog beast slumbers in the murk at the heart of this very forest.	game/scene1.rpy	249	a "[what]"
scene1_ef2d0ac1	j	So... Maybe 20 minutes?	game/scene1.rpy	251	j "[what]"
scene1_66721cc3	a	More like an hour. I've got little legs.	game/scene1.rpy	253	a "[what]"
scene1_0c6ee084	n	You consider the young girl in front of you. Her smile reaches her ears.	game/scene1.rpy	255	n "[what]"
scene1_e7e77f3d	n	Even if you had a choice in any of this, you'd have a tough time saying no to those bright green eyes.	game/scene1.rpy	256	n "[what]"
scene1_b2077dec	j	Better get moving then.	game/scene1.rpy	258	j "[what]"
scene1_0bdf403f	n	With glee, she rushes to the window, throws it open, and lets down her sheets. You realize now that they've already been tied nicely for such a purpose.	game/scene1.rpy	259	n "[what]"
scene1_24741031	a	Down we go!	game/scene1.rpy	261	a "[what]"
scene1_2a32a41b	j	We're not gonna use the door?	game/scene1.rpy	263	j "[what]"
scene1_894b7b5e	a	Mom will know if we go that way! Besides, going out the window is how you always start an adventure!	game/scene1.rpy	265	a "[what]"
scene1_a61d53cd	n	She throws you one last smile before sliding over the sill and down out of sight.	game/scene1.rpy	267	n "[what]"
scene1_f0ef11c2	n	You sigh once more as you toss your own leg over and look down. The house is only one floor, plus this attic, so it isn't far to go.	game/scene1.rpy	268	n "[what]"
scene1_ca26bc39	n	Aria is near the forest edge a dozen meters away. She waves you on enthusiastically.	game/scene1.rpy	270	n "[what]"
scene1_40acc4b7	s	Just what have I gotten myself into?	game/scene1.rpy	271	s "[what]"
scene0_a618c3a0	narrator	It was a rainy Tuesday night.	game/scene0.rpy	2	narrator "[what]"
scene0_9118ecb7	narrator	You came home from work to your small studio apartment, changed into sweatpants, grabbed a drink from the fridge and sat on the floor in front of your TV because it was more comfortable than your shitty IKEA couch.	game/scene0.rpy	3	narrator "[what]"
scene0_903794d1	narrator	You flipped through channels and eventually settled on a network game show you remembered watching with your grandmother when you were little.	game/scene0.rpy	8	narrator "[what]"
scene0_a17c32c1	narrator	It's more commercials than content now, so you quickly got bored and started scrolling on your phone.	game/scene0.rpy	13	narrator "[what]"
scene0_b978d5bb	narrator	A friend of yours from high school posted some engagement photos. Another made a pregnancy announcement.	game/scene0.rpy	17	narrator "[what]"
scene0_3fbab9bf	narrator	You thought about congratulating them, but you haven't spoken to either of them in years. Best case scenario, they would invite you to some celebratory event you couldn't afford to attend.	game/scene0.rpy	19	narrator "[what]"
scene0_08f98484	narrator	Besides, you've already called in enough days at work that requesting any more would probably get you fired. So instead you drank and kept scrolling, eyes half glazed over.	game/scene0.rpy	24	narrator "[what]"
scene0_7f59ab0b	narrator	Eventually you can't keep your eyes open at all anymore. You lean your head back against your couch and fall asleep, wishing you could be anyone and anywhere else.	game/scene0.rpy	29	narrator "[what]"
scene0_13b60c4a	n	When you open your eyes again, you are no longer in your apartment	game/scene0.rpy	37	n "[what]"
scene2_4750bfba	n	The house you were summoned into is a small cottage in a clearing, surrounded on all sides by forest.	game/scene2.rpy	4	n "[what]"
scene2_6449eebf	n	You leave it behind, still and silent, after watching Aria magic the bundled sheets back up through her window.	game/scene2.rpy	5	n "[what]"
scene2_22442748	n	You walk through the brush at first but quickly hit a narrow path.	game/scene2.rpy	7	n "[what]"
scene2_5d4dbaca	n	Aria runs ahead and back, to and fro, eyeing every tree, bush, and rock with profound interest.	game/scene2.rpy	9	n "[what]"
scene2_232c6a8f	n	Your mind wanders.	game/scene2.rpy	10	n "[what]"
scene2_0736ea34	narrator	The more you walk, the more you're certain you don't feel like a doll. Granted, you've never been a doll before, but you're pretty sure even the most carefully made dolls don't have vocal cords, or ears that twitch toward new sounds, or tails that swish to keep balance, or stomachs that flip every time the girl in the witch hat rounds a bend out of your sight.	game/scene2.rpy	12	narrator "[what]" with dissolve
scene2_7c219fd9	narrator	Even your paws... they are paws, complete with retractable claws just like a cat would have. But your... fingers? They curl and flex with more dexterity than you'd expect. You have no problem picking up and holding a stick when you try.	game/scene2.rpy	13	narrator "[what]"
scene2_00acb403	narrator	Your eyesight is better, too. You could never afford one of those 4K TVs, but you imagine they'd be like this. Colors seem brighter, details clearer. You can see and hear every leaf rustling in the breeze. It's a little overwhelming, actually.	game/scene2.rpy	14	narrator "[what]"
scene2_e0d24f60	narrator	Especially as you notice, these trees... they don't look like any trees you've ever seen. You're not a nature buff or anything, you doubt you could tell an oak from an aspen, but you've never seen leaves shaped like these, or bark that forms in quite this way. The forest is still a palette of greens and browns, sunlight filtering through the canopy and rippling across the forest floor, but even then... Is the sunlight a little more orange than you remember?	game/scene2.rpy	16	narrator "[what]"
scene2_e25e31c9	narrator	It's the moss on a stone you pass that finally does it. The moss is light purple, studded with tiny blooms of the deepest blue you've ever seen in a plant. It's the sort of thing you'd expect to see at the bottom of the ocean, or maybe on an alien planet in a video game, but not here. You reach out to touch it, and it feels just like moss. You scratch some of it off the stone with your dexterous new claws. It falls to the ground in a small clump.	game/scene2.rpy	17	narrator "[what]"
scene2_4ca7fd68	narrator	\n\n\n\n\nYou didn't realize it until now, but some part of you was treating all of this as an extremely vivid dream.\n\nEven as you settled into this new body.\n\nEven as a child explained the rules of soul-summoning.\n\nEven as you watched that same child do actual magic in front of you, effortlessly levitating those sheets.	game/scene2.rpy	19	narrator "[what]"
scene2_72c22033	j	Holy shit.	game/scene2.rpy	21	j "[what]"
scene2_d6efffef	j	This is real. This is actually happening.	game/scene2.rpy	22	j "[what]"
scene2_b89b422b	a	Yeah! Isn't it great?	game/scene2.rpy	26	a "[what]"
scene2_958c3922	n	You'd whispered it to yourself, unaware that Aria had ambled her way back to you.	game/scene2.rpy	33	n "[what]"
scene2_b77d0e2c	n	At her voice, you jump slightly. Your tail puffs out as every hair stands on end.	game/scene2.rpy	34	n "[what]"
scene2_a9abd271	a	This is the Great Weald where the Queen oversees her realm.	game/scene2.rpy	37	a "[what]"
scene2_4292eaab	a	Its beauty only tarnished by the darkness that lurks in its deepest depths.	game/scene2.rpy	39	a "[what]"
scene2_c8961175	j	... The Bog Beast?	game/scene2.rpy	41	j "[what]"
scene2_a34af196	a	THE BOG BEAST!	game/scene2.rpy	43	a "[what]"
scene2_f9e1bfe5	n	Aria sprints forward again, disappearing from view.	game/scene2.rpy	50	n "[what]"
scene2_1d50ed92	n	You glance around again. The trees rustle with another breeze. Slowly, your tail smooths out again.	game/scene2.rpy	52	n "[what]"
scene2_bfaf2eca	n	Hardly expecting a response, you cup your paws together around your mouth and call out.	game/scene2.rpy	53	n "[what]"
scene2_cf1c361f	j	Do you actually know where we're going?	game/scene2.rpy	54	j "[what]"
scene2_79089b66	a	Yep!	game/scene2.rpy	62	a "[what]"
scene2_32cb142e	j	Shi- uh, geez! Hi, Aria.	game/scene2.rpy	66	j "[what]"
scene2_78fe996c	j	How do you know the way? Do you walk out here with your mom sometimes?	game/scene2.rpy	67	j "[what]"
scene2_b0b43c85	a	No, this is my first time.	game/scene2.rpy	69	a "[what]"
scene2_c59b89ee	j	Okay. So, then... are you sure you know where we're going? This is, um... the Great Weald, after all. Seems pretty big. Easy to get lost.	game/scene2.rpy	71	j "[what]"
scene2_44656683	a	It's gigantic!	game/scene2.rpy	76	a "[what]"
scene2_b580acc0	a	But don't worry, Jophiel. I have this!	game/scene2.rpy	82	a "[what]"
scene2_3ae45715	n	She holds up something smooth, ornate, and reflective. As she turns it, it catches a beam of sunlight.	game/scene2.rpy	87	n "[what]"
scene2_84dc5983	j	A mirror?	game/scene2.rpy	88	j "[what]"
scene2_f1b7939e	a	A magic mirror. It shows anything I ask it to. That's how I've kept track of the bog beast, deep in his murky lair.	game/scene2.rpy	90	a "[what]"
scene2_c4df4a37	a	That's how I know about your world too. Your people have strange magic.	game/scene2.rpy	92	a "[what]"
scene2_1d5f005a	a	I like watching the big colorful monsters chase each other around. Why do you let them eat you?	game/scene2.rpy	94	a "[what]"
scene2_7fc3e502	j	I don't... what? What monsters?	game/scene2.rpy	96	j "[what]"
scene2_96e6b61b	a	You know, the big shiny ones! They have black feet that roll, and sometimes they beep like weird birds!	game/scene2.rpy	98	a "[what]"
scene2_53b145e0	a	And people jump right into their mouths, but I've seen the monsters spit them out too. They're all over the place there.	game/scene2.rpy	100	a "[what]"
scene2_29641d40	a	They even sleep outside your houses at night. Are they your pets?	game/scene2.rpy	102	a "[what]"
scene2_d3a8f0cf	j	Are... are you talking about cars?	game/scene2.rpy	104	j "[what]"
scene2_17e2a25b	a	Are you a beast-master? Do you and these 'cars' share a special bond?	game/scene2.rpy	106	a "[what]"
choice_1_1_9f9ebed9	j	Uh... no.	game/scene2.rpy	117	j "[what]"
choice_1_1_e1801e32	j	Cars aren't beasts, they're not alive.\nThey're just machines.	game/scene2.rpy	118	j "[what]"
choice_1_1_6f50e783	a	What's a 'machine'?	game/scene2.rpy	120	a "[what]"
choice_1_1_781a4317	j	It's a tool. A big, complicated tool.	game/scene2.rpy	122	j "[what]"
choice_1_1_b5783daf	j	I do drive one for work, but I kind of hate it.	game/scene2.rpy	123	j "[what]"
choice_1_1_c214a761	a	Oh. They seem neat, but maybe that's just through the mirror.	game/scene2.rpy	125	a "[what]"
choice_1_1_aa6baeb7	j	I mean, there are some nice cars. I originally started my job to save for a good one.	game/scene2.rpy	127	j "[what]"
choice_1_1_7830fdb3	j	But now I think I'd be happiest to never get in a car again.	game/scene2.rpy	128	j "[what]"
choice_1_1_3caa2812	a	...Does it stink in their mouth?	game/scene2.rpy	130	a "[what]"
choice_1_1_2e1318b5	j	They're still not alive.\n...but yes.	game/scene2.rpy	132	j "[what]"
choice_1_2_073c2513	j	Not every car-mancer does, but I'd like to think me and my car have a special bond, yeah.	game/scene2.rpy	138	j "[what]"
choice_1_2_0a0a2d28	a	Really? What's their name?	game/scene2.rpy	145	a "[what]"
choice_1_2_d3a8d4ab	j	Well, the breed is what's known locally as a 'Prius', which is kind of a thoroughbred for my job.	game/scene2.rpy	149	j "[what]"
choice_1_2_f228408d	j	So, I named him Seabiscuit after this famous racehorse.	game/scene2.rpy	150	j "[what]"
choice_1_2_81a2ad4c	j	Which is funny because he is not fast.	game/scene2.rpy	151	j "[what]"
choice_1_2_79b7cafd	j	But he is efficient! Which counts for something.	game/scene2.rpy	152	j "[what]"
choice_1_2_0e096d36	a	Wow. I've never met a horse, but I asked Mom for a tuna one time.	game/scene2.rpy	154	a "[what]"
choice_1_2_808d078f	j	A tuna? Like, the fish?	game/scene2.rpy	156	j "[what]"
choice_1_2_e0744073	a	Yep! I dug a pit back behind the house and filled it with water.	game/scene2.rpy	158	a "[what]"
choice_1_2_41fb35fe	a	I thought she'd bring it home alive, but it was already dead. She didn't see much of a difference either way.	game/scene2.rpy	160	a "[what]"
choice_1_2_e4e9c9c8	a	I really wanted to see it swim around in the pool I dug, though, so I re-animated it!	game/scene2.rpy	162	a "[what]"
choice_1_2_ca791d24	a	I got up early every day to re-apply the spell, but Mom only let me keep it until it started to stink.	game/scene2.rpy	164	a "[what]"
choice_1_2_9e3f37f2	j	Sounds like one heck of a birthday present.	game/scene2.rpy	166	j "[what]"
choice_1_2_81dba7e7	a	Birthday?	game/scene2.rpy	168	a "[what]"
choice_1_2_62171be8	s	Oh. Maybe they don't have those here.	game/scene2.rpy	170	s "[what]"
choice_1_2_59604abf	s	In my world, every year, your friends and family celebrate the day you were born.	game/scene2.rpy	171	s "[what]"
choice_1_2_8b1784f6	s	They give you gifts, you might eat a cake together, that kind of thing.	game/scene2.rpy	172	s "[what]"
choice_1_2_ca9990f7	a	Gifts, huh?	game/scene2.rpy	174	a "[what]"
choice_1_2_666d85b1	a	Hmm... I'd love to have my own familiar someday.	game/scene2.rpy	176	a "[what]"
choice_1_2_24877e1c	a	A living one, I mean. I'd feed it and take it for walks.	game/scene2.rpy	178	a "[what]"
choice_1_2_c8eab416	a	Like the tuna!	game/scene2.rpy	180	a "[what]"
choice_1_2_504c38ea	a	If it was pretty small, it could even live in my room with me.	game/scene2.rpy	185	a "[what]"
choice_1_2_91ca0d14	j	Does it get pretty lonely with your mom being gone like she is?	game/scene2.rpy	189	j "[what]"
choice_1_2_66932f90	a	Yeah sometimes she's gone for a really long time.	game/scene2.rpy	194	a "[what]"
choice_1_2_67d869bb	a	I'd get pretty bored and hungry, but eventually I discovered how to create food with magic, and Mom gave me my mirror to see the world.	game/scene2.rpy	196	a "[what]"
choice_1_2_1094a910	a	But she always says it's too dangerous for me to go out on my own.	game/scene2.rpy	198	a "[what]"
choice_1_2_bec3772e	a	So, I'm really glad you're here with me now!	game/scene2.rpy	200	a "[what]"
choice_1_2_e7a6d62d	a	It's nice to have someone to talk to.	game/scene2.rpy	202	a "[what]"
choice_1_2_aba4a0ee	n	She's putting on a brave face, but you can connect with the deep loneliness it's covering.	game/scene2.rpy	205	n "[what]"
choice_1_2_645d5f09	n	You've often felt it yourself. When was the last time you spoke to someone, really?	game/scene2.rpy	206	n "[what]"
resume_1_ae06b3a3	n	Your chat is cut short by crunching brush. Your ears swivel automatically to the sound.	game/scene2.rpy	213	n "[what]"
resume_1_529b0d4f	n	You hear two sets of feet approaching, one larger, one small.	game/scene2.rpy	214	n "[what]"
resume_1_06079ea9	n	You have only a moment to stop and marvel at just how much your new ears can tell you before you get their voices too.	game/scene2.rpy	215	n "[what]"
resume_1_32e3f504	qg	No, I'm telling you it's not possible! The gouges are too deep for a bear!	game/scene2.rpy	216	qg "[what]"
resume_1_394bbf34	qt	And I'm saying you don't even hang out with bears! I've met some pretty big bears.	game/scene2.rpy	217	qt "[what]"
resume_1_50111c5c	qt	I had a nursery mate, a fir, who was the local rub tree for some real grizzly types.	game/scene2.rpy	218	qt "[what]"
resume_1_a96184bf	qt	They'd take whole chunks out of him sometimes, but, like, he never gave his safe word or anything, so I think it was all above board.	game/scene2.rpy	219	qt "[what]"
resume_1_9c2df82e	qg	Above BOARD? ...Was that a pun, Toorg? You know how I feel about puns.	game/scene2.rpy	220	qg "[what]"
resume_1_27c18b9e	t	Aw, come on Gerald, I know you've got a sense of humor in there somewhere.	game/scene2.rpy	221	t "[what]"
resume_1_b4630063	g	No room. Too much anger, too little body.	game/scene2.rpy	222	g "[what]"
resume_1_f7e1a614	n	A gnomish sort pushes past a tree and into view.	game/scene2.rpy	232	n "[what]"
resume_1_a23b53dd	n	...then the tree pushes past the gnome. The tree-person??	game/scene2.rpy	243	n "[what]"
resume_1_7894179c	n	Their conversation trails off as they meet your gaze.	game/scene2.rpy	248	n "[what]"
resume_1_be2f3d91	a	Oh!! Greetings fellow travelers! 'Tis fate that must have brought us together.	game/scene2.rpy	254	a "[what]"
resume_1_d12fb2aa	a	I am Aria of the Weald Queen's court!	game/scene2.rpy	258	a "[what]"
resume_1_35b9fb85	a	And this is Jophiel the Duskborn, catfolk master thi-	game/scene2.rpy	260	a "[what]"
resume_1_52c421f9	j	It's just Jo. I'm chaperoning.	game/scene2.rpy	262	j "[what]"
resume_1_7cf15c94	a	We are bound by venerable purpose.	game/scene2.rpy	264	a "[what]"
resume_1_008590aa	a	We have set upon a MIGHTY QUEST!	game/scene2.rpy	266	a "[what]"
resume_1_62c7a603	j	Yeah, so-	game/scene2.rpy	268	j "[what]"
resume_1_3b243a90	a	WE SEEK TO CAPTURE THE TERRIBLE BOG BEAST! FATED COMPATRIOTS, WILL YOU JOIN US IN THIS QUEST, OR ARE YE COWARDS?!	game/scene2.rpy	272	a "[what]"
resume_1_dc0d5e4e	g	Hey, whoa, chill kid. We've got some purpose of our own.	game/scene2.rpy	275	g "[what]"
resume_1_cb09e988	t	I'd even say it's at least a little venerable, too.	game/scene2.rpy	278	t "[what]"
resume_1_ae529ad3	g	Yeah, Toorg and I, we're mercen- Adventurers passing through the Kaistr Weald. We slept at the Beard & Brew in town last night.	game/scene2.rpy	282	g "[what]"
